loggingTime;loggingSample;locationHeadingTimestamp_since1970;locationHeadingX;locationHeadingY;locationHeadingZ;locationTrueHeading;locationMagneticHeading;locationHeadingAccuracy
2022-05-16 09:52:01.699;59;1652687521.660082;-40.43547439575195;-15.56699848175049;-68.35103607177734;-1;93.52855682373047;25
2022-05-16 09:52:01.748;60;1652687521.710889;-40.33506011962891;-21.07797050476074;-66.14358520507812;-1;94.01204681396484;25
2022-05-16 09:52:01.799;61;1652687521.7637;-40.43547058105469;-26.85294151306152;-63.10434722900391;-1;94.60744476318359;25
2022-05-16 09:52:01.844;62;1652687521.815057;-40.16770935058594;-34.04690933227539;-59.00937652587891;-1;95.32738494873047;25
2022-05-16 09:52:01.899;63;1652687521.867793;-38.99625396728516;-43.51785659790039;-55.0103759765625;-1;96.18442535400391;25
2022-05-16 09:52:01.941;64;1652687521.919499;-38.39379119873047;-56.98179244995117;-50.65946197509766;-1;97.19276428222656;25
2022-05-16 09:52:01.980;65;1652687521.972155;-36.21822357177734;-75.49469757080078;-47.04436874389648;-1;98.3538818359375;25
2022-05-16 09:52:02.038;66;1652687522.023019;-33.90877151489258;-101.4655685424805;-43.81317901611328;-1;99.64669799804688;25
2022-05-16 09:52:02.077;67;1652687522.023019;-33.90877151489258;-101.4655685424805;-43.81317901611328;-1;99.64669799804688;25
2022-05-16 09:52:02.134;68;1652687522.076581;-29.02211570739746;-137.6333923339844;-42.78943634033203;-1;101.0586547851562;25
2022-05-16 09:52:02.173;69;1652687522.12734;-19.88474273681641;-189.2121429443359;-46.66046524047852;-1;100.9735794067383;26
2022-05-16 09:52:02.233;70;1652687522.180255;-3.852499008178711;-264.6167602539062;-62.17658233642578;-1;100.8909454345703;26
2022-05-16 09:52:02.270;71;1652687522.231722;26.20377349853516;-373.5822448730469;-101.4627532958984;-1;100.8107376098633;26
2022-05-16 09:52:02.335;72;1652687522.284121;80.12433624267578;-523.8305053710938;-187.6811828613281;-1;100.7333068847656;26
2022-05-16 09:52:02.367;73;1652687522.33635;174.0753021240234;-713.0185546875;-360.2780151367188;-1;100.6582641601562;26
2022-05-16 09:52:02.436;74;1652687522.388392;328.67431640625;-906.6944580078125;-671.97607421875;-1;100.5848388671875;26
2022-05-16 09:52:02.464;75;1652687522.441251;548.6072387695312;-996.6849975585938;-1148.944702148438;-1;100.5127334594727;26
2022-05-16 09:52:02.538;76;1652687522.492806;794.1784057617188;-817.3969116210938;-1705.445556640625;-1;100.4418869018555;26
2022-05-16 09:52:02.560;77;1652687522.545238;960.4920654296875;-293.6564636230469;-2097.507568359375;-1;100.3729782104492;26
2022-05-16 09:52:02.636;78;1652687522.596336;948.7775268554688;394.6541748046875;-2081.19140625;-1;100.3062057495117;26
2022-05-16 09:52:02.657;79;1652687522.649582;761.6453857421875;910.9365844726562;-1655.794067382812;-1;100.2417526245117;26
2022-05-16 09:52:02.736;80;1652687522.700973;502.9874267578125;1067.949951171875;-1075.0751953125;-1;100.1797943115234;26
2022-05-16 09:52:02.754;81;1652687522.700973;502.9874267578125;1067.949951171875;-1075.0751953125;-1;100.1797943115234;26
2022-05-16 09:52:02.835;82;1652687522.804821;131.8693695068359;729.5694580078125;-290.6314392089844;-1;100.0609436035156;26
2022-05-16 09:52:02.850;83;1652687522.804821;131.8693695068359;729.5694580078125;-290.6314392089844;-1;100.0609436035156;26
2022-05-16 09:52:02.934;84;1652687522.908691;2.640766143798828;375.5142211914062;-68.63893127441406;-1;99.94609832763672;26
2022-05-16 09:52:02.946;85;1652687522.908691;2.640766143798828;375.5142211914062;-68.63893127441406;-1;99.94609832763672;26
2022-05-16 09:52:03.034;86;1652687523.012884;-33.10545349121094;202.4630584716797;-37.67067337036133;-1;99.83098602294922;26
2022-05-16 09:52:03.043;87;1652687523.012884;-33.10545349121094;202.4630584716797;-37.67067337036133;-1;99.83098602294922;26
2022-05-16 09:52:03.133;88;1652687523.117195;-44.25104522705078;127.2564239501953;-46.34051132202148;-1;99.71630096435547;26
2022-05-16 09:52:03.140;89;1652687523.117195;-44.25104522705078;127.2564239501953;-46.34051132202148;-1;99.71630096435547;26
2022-05-16 09:52:03.200;90;1652687523.169981;-46.52701950073242;108.5785140991211;-54.78639984130859;-1;99.66097259521484;26
2022-05-16 09:52:03.236;91;1652687523.221582;-47.73194885253906;98.15056610107422;-62.40049362182617;-1;99.60751342773438;26
2022-05-16 09:52:03.298;92;1652687523.274691;-49.33852005004883;93.46458435058594;-70.27052307128906;-1;99.55683135986328;26
2022-05-16 09:52:03.335;93;1652687523.274691;-49.33852005004883;93.46458435058594;-70.27052307128906;-1;99.55683135986328;26
2022-05-16 09:52:03.398;94;1652687523.377817;-53.82353210449219;102.7045364379883;-86.5224609375;-1;99.46340179443359;26
2022-05-16 09:52:03.434;95;1652687523.377817;-53.82353210449219;102.7045364379883;-86.5224609375;-1;99.46340179443359;26
2022-05-16 09:52:03.532;96;1652687523.48156;-63.06131744384766;149.4322967529297;-103.7981414794922;-1;99.37859344482422;26
2022-05-16 09:52:03.533;97;1652687523.48156;-63.06131744384766;149.4322967529297;-103.7981414794922;-1;99.37859344482422;26
